Title,Abstract,Published Date
"Electronic structure and magnetism in the frustrated antiferromagnet
  LiCrO2","LiCrO2 is a 2D triangular antiferromagnet, isostructural with the common
battery material LiCoO2 and a well-known Jahn-Teller antiferromagnet NaNiO2. As
opposed to the latter, LiCrO2 exibits antiferromagnetic exchange in Cr planes,
which has been ascribed to direct Cr-Cr d-d overlap. Using LDA and LDA+U first
principles calculations I confirm this conjecture and show that (a) direct d-d
overlap is indeed enhanced compared to isostructural Ni and Cr compounds, (b)
p-d charge transfer gap is also enhanced, thus suppressing the ferromagnetic
superexchange, (c) the calculated magnetic Hamiltonian maps well onto the
nearest neighbors Heisenberg exchange model and (d) interplanar inteaction is
antiferromagnetic.",2007-01-22T15:20:10Z
The Star Formation History in a SMC field: IAC-star/IAC-pop at work,"We present a progress report of a project to study the quantitative star
formation history (SFH) in different parts of the Small Magellanic Cloud (SMC).
We use the information in [(B-R), R] color-magnitude diagrams (CMDs), which
reach down to the oldest main-sequence turnoffs and allow us to retrieve the
SFH in detail. We show the first results of the SFH in a SMC field located in
the Southern direction (at $\thicksim$1 kpc from the SMC center). This field is
particularly interesting because in spite of being located in a place in which
the HI column density is very low, it still presents a recent enhancement of
star formation.",2007-03-09T21:07:20Z
Adaptive Alternating Minimization Algorithms,"The classical alternating minimization (or projection) algorithm has been
successful in the context of solving optimization problems over two variables.
The iterative nature and simplicity of the algorithm has led to its application
to many areas such as signal processing, information theory, control, and
finance. A general set of sufficient conditions for the convergence and
correctness of the algorithm is quite well-known when the underlying problem
parameters are fixed. In many practical situations, however, the underlying
problem parameters are changing over time, and the use of an adaptive algorithm
is more appropriate. In this paper, we study such an adaptive version of the
alternating minimization algorithm. As a main result of this paper, we provide
a general set of sufficient conditions for the convergence and correctness of
the adaptive algorithm. Perhaps surprisingly, these conditions seem to be the
minimal ones one would expect in such an adaptive setting. We present
applications of our results to adaptive decomposition of mixtures, adaptive
log-optimal portfolio selection, and adaptive filter design.",2007-01-08T18:41:38Z
Spin generation away from boundaries by nonlinear transport,"In several situations of interest, spin polarization may be generated far
from the boundaries of a sample by nonlinear effects of an electric current,
even when such a generation is forbidden by symmetry in the linear regime. We
present an analytically solvable model where spin accumulation results from a
combination of current gradients, nonlinearity, and cubic anisotropy. Further,
we show that even with isotropic conductivity, nonlinear effects in a low
symmetry geometry can generate spin polarization far away from boundaries.
Finally, we find that drift from the boundaries results in spin polarization
patterns that dominate in recent experiments on GaAs by Sih et al. [Phys. Rev.
Lett. 97, 096605 (2006)].",2007-03-25T20:36:34Z
"General relativity, gravitational energy and spin-two field","In my lectures I will deal with three seemingly unrelated problems: i) to
what extent is general relativity exceptional among metric gravity theories?
ii) is it possible to define gravitational energy density applying field-theory
approach to gravity? and iii) can a consistent theory of a gravitationally
interacting spin-two field be developed at all? The connecting link to them is
the concept of a fundamental spin-2 field. A linear spin-2 field encounters
insurmountable inconsistencies when coupled to gravity. After discussing the
inconsistencies of any coupling of the linear spin-2 field to gravity, I
exhibit the origin of the fact that a gauge invariant field has the variational
metric stress tensor which is gauge dependent. I give a general theorem
explaining under what conditions a symmetry of a field Lagrangian becomes also
the symmetry of the stress tensor. It is a conclusion of the theorem that any
attempt to define gravitational energy density in the framework of a field
theory of gravity must fail. Finally I make a very brief introduction to basic
concepts of how a certain kind of a necessarily nonlinear spin-2 field arises
in a natural way from vacuum higher derivative gravity theories. This specific
spin-2 field consistently interacts gravitationally.",2007-01-29T11:36:08Z
"Heteropolymer Sequence Design and Preferential Solvation of Hydrophilic
  Monomers: One More Application of Random Energy Model","In this paper, we study the role of surface of the globule and the role of
interactions with the solvent for designed sequence heteropolymers using random
energy model (REM). We investigate the ground state energy and surface monomer
composition distribution. By comparing the freezing transition in random and
designed sequence heteropolymers, we discuss the effects of design. Based on
our results, we are able to show under which conditions solvation effect
improves the quality of sequence design. Finally, we study sequence space
entropy and discuss the number of available sequences as a function of imposed
requirements for the design quality.",2007-01-24T04:43:59Z
"Recent advances in the internal functionalization of carbon nanotubes:
  synthesis, optical, and magnetic resonance studies","The hollow inside of single-wall carbon nanotubes (SWCNT) provides a unique
degree of freedom to investigate chemical reactions inside this confined
environment and to study the tube properties. It is reviewed herein, how
encapsulating fullerenes, magnetic fullerenes, $^{13}$C isotope enriched
fullerenes and organic solvents inside SWCNTs enables to yield unprecedented
insight into their electronic, optical, and interfacial properties and to study
their growth. Encapsulated C$_{60}$ fullerenes are transformed to inner tubes
by a high temperature annealing. The unique, low defect concentration of inner
tubes makes them ideal to study the effect of diameter dependent treatments
such as opening and closing of the tubes. The growth of inner tubes is achieved
from $^{13}$C enriched encapsulated organic solvents, which shows that
fullerenes do not have a distinguished role and it opens new perspectives to
explore the in-the-tube chemistry. Encapsulation of magnetic fullerenes, such
as N@C$_{60}$ and C$_{59}$N is demonstrated using ESR. Growth of inner tubes
from $^{13}$C enriched fullerenes provides a unique isotope engineered
heteronuclear system, where the outer tubes contain natural carbon and the
inner walls are controllably $^{13}$C isotope enriched. The material enables to
identify the vibrational modes of inner tubes which otherwise strongly overlap
with the outer tube modes. The $^{13}$C NMR signal of the material is specific
for the small diameter SWCNTs. Temperature and field dependent $^{13}$C $T_1$
studies show a uniform metallic-like electronic state for all inner tubes and a
low energy, ~3 meV gap is observed that is assigned to a long sought Peierls
transition.",2007-01-31T20:37:30Z
"Microscopic annealing process and its impact on superconductivity in
  T'-structure electron-doped copper oxides","High-transition-temperature superconductivity arises in copper oxides when
holes or electrons are doped into the CuO2 planes of their insulating parent
compounds. While hole-doping quickly induces metallic behavior and
superconductivity in many cuprates, electron-doping alone is insufficient in
materials such as R2CuO4 (R is Nd, Pr, La, Ce, etc.), where it is necessary to
anneal an as-grown sample in a low-oxygen environment to remove a tiny amount
of oxygen in order to induce superconductivity. Here we show that the
microscopic process of oxygen reduction repairs Cu deficiencies in the as-grown
materials and creates oxygen vacancies in the stoichiometric CuO2 planes,
effectively reducing disorder and providing itinerant carriers for
superconductivity. The resolution of this long-standing materials issue
suggests that the fundamental mechanism for superconductivity is the same for
electron- and hole-doped copper oxides.",2007-01-15T18:34:37Z
Distribution of Microscopic Energy Flux in Equilibrium State,"The distribution function P(j) of the microscopic energy flux, j, in
equilibrium state is studied. It is observed that P(j) has a broad peak in
small j regime and a stretched-exponential decay for large j. The peak
structure originates in a potential advection term and energy transfer term
between the particles. The stretched exponential tail comes from the momentum
energy advection term.",2007-02-27T09:30:36Z
"A lyotropic ferrocolloid (ferronematic) based on a potassium
  laurate/1-decanole/water ternary solution","A lyotropic ferrocolloid is synthesized by mixing of a cationic ferrofluid
and potassium laurate/1-decanol/water ternary solution. Conditions of existence
of a nematic phase in this mixture, other mesophases, and their phase diagrams
in the vicinity of the nematic one are obtained and characterized
quantitatively. Inside of the nematic zone the lyotropic ferrocolloid becomes a
ferronematic, i.e., a liquid crystal with remarkably strong magnetic
properties. We found that the pH and the component concentrations dramatically
affect the amount of magnetic particles stably suspended in a lyotropic
carrier. Magnetization and magnetic susceptibility of synthesized ferronematics
are measured depending on the concentration of dispersed magnetic particles.",2007-03-21T04:47:54Z
