Title,Abstract,Published Date
"First Detection of Near-Infrared Intraday Variations in the Seyfert 1
  Nucleus NGC4395","We carried out a one-night optical V and near-infrared JHK monitoring
observation of the least luminous Seyfert 1 galaxy, NGC4395, on 2004 May 1, and
detected for the first time the intraday flux variations in the J and H bands,
while such variation was not clearly seen for the K band. The detected J and H
variations are synchronized with the flux variation in the V band, which
indicates that the intraday-variable component of near-infrared continuum
emission of the NGC4395 nucleus is an extension of power-law continuum emission
to the near-infrared and originates in an outer region of the central accretion
disk. On the other hand, from our regular program of long-term optical BVI and
near-infrared JHK monitoring observation of NGC4395 from 2004 February 12 until
2005 January 22, we found large flux variations in all the bands on time scales
of days to months. The optical BVI variations are almost synchronized with each
other, but not completely with the near-infrared JHK variations. The color
temperature of the near-infrared variable component is estimated to be
T=1320-1710 K, in agreement with thermal emission from hot dust tori in active
galactic nuclei (AGNs). We therefore conclude that the near-infrared variation
consists of two components having different time scales, so that a small K-flux
variation on a time scale of a few hours would possibly be veiled by large
variation of thermal dust emission on a time scale of days.",2006-04-08T10:06:17Z
"Probing Dynamics of Dark Energy with Supernova, Galaxy Clustering and
  the Three-Year Wilkinson Microwave Anisotropy Probe (WMAP) Observations","Using the Markov chain Monte Carlo (MCMC) method we perform a global analysis
constraining the dynamics of dark energy in light of the supernova (Riess
""Gold"" samples), galaxy clustering (SDSS 3D power spectra and SDSS lyman-\alpha
forest information) and the latest three-year Wilkinson Microwave Anisotropy
Probe (WMAP) observations. We have allowed the dark energy equation of state to
get across -1 and pay particular attention to the effects when incorrectly
neglecting dark energy perturbations. We find the parameter space of dynamical
dark energy is now well constrained and neglecting dark energy perturbations
will make the parameter space significantly smaller. Dynamical dark energy
model where the equation of state crosses -1 is mildly favored and the standard
\LambdaCDM model is still a good fit to the current data.",2006-03-23T17:42:26Z
Probing the Environment with Galaxy Dynamics,"I present various projects to study the halo dynamics of elliptical galaxies.
This allows one to study the outer mass and orbital distributions of
ellipticals in different environments, and the inner distributions of groups
and clusters themselves.",2006-05-02T15:28:39Z
"A search for a counterpart of the unidentified gamma-ray source 3EG
  J2020+4017 (2CG078+2)","We report observations with the Chandra X-ray Observatory of a field in the
gamma$-Cygni supernova remnant (SNR78.2+2.1) centered on the cataloged location
of the unidentified, bright gamma-ray source 3EG J2020+4017. In this search for
an X-ray counterpart to the gamma-ray source, we detected 30 X-ray sources. Of
these, we found 17 strong-candidate counterparts in optical (visible through
near-infrared) cataloged and an additional 3 through our optical observations.
Based upon colors and (for several objects) optical spectra, nearly all the
optically identified objects appear to be reddened main-sequence stars. None of
the X-ray sources with an optical counterpart is a plausible X-ray counterpart
to 3EG J2020+4017 --if that gamma-ray source is a spin-powered pulsar. Many of
the 10 X-ray sources lacking optical counterparts are likely (extragalactic)
active galactic nuclei, based upon the sky density of such sources. Although
one of the 10 optically unidentified X-ray sources could be the gamma-ray
source, there is no auxiliary evidence supporting such an identification.",2006-06-23T17:41:35Z
"Extragalactic chemistry of molecular gas: lessons from the local
  universe","Observational constraints provided by high resolution and high sensitivity
observations of external galaxies made in the millimeter and submillimeter
range have started to put on a firm ground the study of extragalactic chemistry
of molecular gas. In particular, the availability of multi-species and
multi-line surveys of nearby galaxies is central to the interpretation of
existent and forthcoming millimeter observations of the high redshift universe.
Probing the physical and chemical status of molecular gas in starbursts and
active galaxies (AGN) requires the use of specific tracers of the relevant
energetic phenomena that are known to be at play in these galaxies: large-scale
shocks, strong UV fields, cosmic rays and X-rays. We present below the first
results of an ongoing survey, allying the IRAM 30m telescope with the Plateau
de Bure interferometer(PdBI), devoted to study the chemistry of molecular gas
in a sample of starbursts and AGN of the local universe. These observations
highlight the existence of a strong chemical differentiation in the molecular
disks of starbursts and AGN.",2006-05-24T11:41:23Z
Slow evolution of elliptical galaxies induced by dynamical friction,"Many astrophysical problems, ranging from structure formation in cosmology to
dynamics of elliptical galaxies, refer to slow processes of evolution of
essentially collisionless self-gravitating systems. In order to determine the
relevant quasi-equilibrium configuration at time t from given initial
conditions, it is often argued that such slow evolution may be approximated in
terms of adiabatic evolution, for the calculation of which efficient
semi--analytical techniques are available. Here we focus on the slow process of
evolution, induced by dynamical friction of a host stellar system on a minority
component of ""satellites"", that we have investigated in a previous paper, to
determine to what extent an adiabatic description might be applied. The study
is realized by comparing directly N--body simulations of the stellar system
evolution (in two significantly different models) from initial to final
conditions in a controlled numerical environment. We demonstrate that for the
examined process the adiabatic description is going to provide incorrect
answers, not only quantitatively, but also qualitatively. The two classes of
models considered exhibit generally similar trends in evolution, with one
exception noted in relation to the evolution of the total density profile. This
simple conclusion should be taken as a warning against the indiscriminate use
of adiabatic growth prescriptions in studies of structure of galaxies.",2006-03-18T12:42:59Z
"SCUBA-2: a 10,000 pixel submillimeter camera for the James Clerk Maxwell
  Telescope","SCUBA-2 is an innovative 10,000 pixel submillimeter camera due to be
delivered to the James Clerk Maxwell Telescope in late 2006. The camera is
expected to revolutionize submillimeter astronomy in terms of the ability to
carry out wide-field surveys to unprecedented depths addressing key questions
relating to the origins of galaxies, stars and planets. This paper presents an
update on the project with particular emphasis on the laboratory commissioning
of the instrument. The assembly and integration will be described as well as
the measured thermal performance of the instrument. A summary of the
performance results will be presented from the TES bolometer arrays, which come
complete with in-focal plane SQUID amplifiers and multiplexed readouts, and are
cooled to 100mK by a liquid cryogen-free dilution refrigerator. Considerable
emphasis has also been placed on the operating modes of the instrument and the
common-user aspect of the user interface and data reduction pipeline. These
areas will also be described in the paper.",2006-06-14T11:09:57Z
"On the Age and Metallicity Estimation of Spiral Galaxies Using Optical
  and Near-Infrared Photometry","In integrated-light, some color-color diagrams that use optical and
near-infrared photometry show surprisingly orthogonal grids as age and
metallicity are varied, and they are coming into common usage for estimating
the average age and metallicity of spiral galaxies. In this paper we
reconstruct these composite grids using simple stellar population models from
several different groups convolved with some plausible functional forms of star
formation histories at fixed metallicity. We find that the youngest populations
present (t<2 Gyr) dominate the light, and because of their presence the
age-metallicity degeneracy can be partially broken with broad-band colors,
unlike older populations. The scatter among simple stellar population models by
different authors is, however, large at ages t<2 Gyr. The dominant
uncertainties in stellar population models arise from convective core overshoot
assumptions and the treatment of the thermally pulsing asymptotic giant branch
phase and helium abundance may play a significant role at higher metallicities.
Real spiral galaxies are unlikely to have smooth, exponential star formation
histories, and burstiness will cause a partial reversion to the single-burst
case, which has even larger model-to-model scatter. Finally, it is emphasized
that the current composite stellar population models need some implementation
of chemical enrichment histories for the proper analysis of the observational
data.",2006-05-17T19:29:41Z
Dwarf novae in the Hamburg Quasar Survey: Rarer than expected,"We report the discovery of five new dwarf novae from the Hamburg Quasar
Survey (HQS), and discuss the properties of the sample of dwarf novae in the
HQS. The orbital periods of the new dwarf novae are ~105.1 min or ~109.9 min,
114.3+-2.7 min, 92.66+-0.17 min, 272.317+-0.001 min, 258.02+-0.56 min for
HS0417+7445, HS1016+3412, HS1340+1524, HS1857+7127, and HS2214+2845,
respectively. HS1857+7127 is found to be partially eclipsing. In HS2214+2845
the secondary star of spectral type M3+-1 is clearly detected, and we estimate
the distance to the system to be d=390+-40 pc. We recorded one superoutburst of
the SU UMa system HS0417+7445. HS1016+3412 and HS1340+1524 have rare outbursts,
and their subtype is yet undetermined. HS1857+7127 frequently varies in
brightness and may be a Z Cam-type dwarf nova. HS2214+2845 is a U Gem-type
dwarf nova with a most likely cycle length of 71 d. To date, 14 new dwarf novae
have been identified in the HQS. The ratio of short-period (<3 h) to
long-period (>3 h) systems of this sample is 1.3, much smaller compared to the
ratio of 2.7 found for all known dwarf novae. The HQS dwarf novae display
typically infrequent or low-amplitude outburst activity, underlining the
strength of spectroscopic selection in identifying new CVs independently of
their variability. The spectroscopic properties of short-period CVs in the HQS
suggest that most of them are still evolving towards the minimum period. Their
total number agrees with the predictions of population models within an order
of magnitude. However, the bulk of all CVs is predicted to have evolved past
the minimum period, and those systems remain unidentified. Those post-bounce
systems may have markedly weaker Hbeta emission lines compared to the average
known short-period CVs, and probably undergo no or extremely rare outbursts.",2006-05-23T14:06:20Z
Physics of Strongly Magnetized Neutron Stars,"There has recently been growing evidence for the existence of neutron stars
possessing magnetic fields with strengths that exceed the quantum critical
field strength of $4.4 \times 10^{13}$ G, at which the cyclotron energy equals
the electron rest mass. Such evidence has been provided by new discoveries of
radio pulsars having very high spin-down rates and by observations of bursting
gamma-ray sources termed magnetars. This article will discuss the exotic
physics of this high-field regime, where a new array of processes becomes
possible and even dominant, and where familiar processes acquire unusual
properties. We review the physical processes that are important in neutron star
interiors and magnetospheres, including the behavior of free particles, atoms,
molecules, plasma and condensed matter in strong magnetic fields, photon
propagation in magnetized plasmas, free-particle radiative processes, the
physics of neutron star interiors, and field evolution and decay mechanisms.
Application of such processes in astrophysical source models, including
rotation-powered pulsars, soft gamma-ray repeaters, anomalous X-ray pulsars and
accreting X-ray pulsars will also be discussed. Throughout this review, we will
highlight the observational signatures of high magnetic field processes, as
well as the theoretical issues that remain to be understood.",2006-06-28T19:08:16Z
